dataset,seed_a,seed_b,layer_i,layer_j,same_depth,metric,value
cifar10,42,123,1,3,False,cosine,0.22772575914859772
cifar10,42,123,1,3,False,svcca,0.773751223255967
cifar10,42,123,1,3,False,pwcca,0.9114761622067729
cifar10,42,123,1,4,False,cka,0.7306951284408569
cifar10,42,123,1,4,False,cosine,0.1836089938879013
cifar10,42,123,1,4,False,svcca,0.7470034219112394
cifar10,42,123,1,4,False,pwcca,0.8949459010468321
cifar10,42,123,2,1,False,cka,0.9171985387802124
cifar10,42,123,2,1,False,cosine,0.22996972501277924
cifar10,42,123,2,1,False,svcca,0.7845274740827645
cifar10,42,123,2,1,False,pwcca,0.8949478201337656
cifar10,42,123,2,2,True,cka,0.9274193048477173
cifar10,42,123,2,2,True,cosine,0.3730490803718567
cifar10,42,123,2,2,True,svcca,0.6580245214006328
cifar10,42,123,2,2,True,pwcca,0.8565860199424904
cifar10,42,123,2,3,False,cka,0.8920743465423584
cifar10,42,123,2,3,False,cosine,0.3714648485183716
cifar10,42,123,2,3,False,svcca,0.6639235900527477
cifar10,42,123,2,3,False,pwcca,0.8634140332859452
cifar10,42,123,2,4,False,cka,0.8163004517555237
cifar10,42,123,2,4,False,cosine,0.3535391092300415
cifar10,42,123,2,4,False,svcca,0.6431678377993129
cifar10,42,123,2,4,False,pwcca,0.8490434632870886
cifar10,42,123,3,1,False,cka,0.8440061807632446
cifar10,42,123,3,1,False,cosine,0.22650063037872314
cifar10,42,123,3,1,False,svcca,0.7528492604382617
cifar10,42,123,3,1,False,pwcca,0.8763027097865189
cifar10,42,123,3,2,False,cka,0.9009137153625488
cifar10,42,123,3,2,False,cosine,0.3995765745639801
cifar10,42,123,3,2,False,svcca,0.64981959995729
cifar10,42,123,3,2,False,pwcca,0.9013984465020874
cifar10,42,123,3,3,True,cka,0.9316229820251465
cifar10,42,123,3,3,True,cosine,0.3995760679244995
cifar10,42,123,3,3,True,svcca,0.6554989393342379
cifar10,42,123,3,3,True,pwcca,0.8684895365899856
