dataset,seed,layer_i,layer_j,layer_distance,metric,value
cifar10,123,1,3,2,cosine,0.24333339929580688
cifar10,123,1,3,2,svcca,0.7871762954225519
cifar10,123,1,3,2,pwcca,0.9184419977426943
cifar10,123,1,4,3,cka,0.7697902321815491
cifar10,123,1,4,3,cosine,0.236581951379776
cifar10,123,1,4,3,svcca,0.7451962084099841
cifar10,123,1,4,3,pwcca,0.8948897939373506
cifar10,123,2,1,1,cka,0.9591650366783142
cifar10,123,2,1,1,cosine,0.23341050744056702
cifar10,123,2,1,1,svcca,0.8698154810995776
cifar10,123,2,1,1,pwcca,0.9453294581473478
cifar10,123,2,2,0,cka,1.0000001192092896
cifar10,123,2,2,0,cosine,1.0
cifar10,123,2,2,0,svcca,0.999999409351691
cifar10,123,2,2,0,pwcca,0.9999999959372794
cifar10,123,2,3,1,cka,0.9504702687263489
cifar10,123,2,3,1,cosine,0.3525312840938568
cifar10,123,2,3,1,svcca,0.7146844270272648
cifar10,123,2,3,1,pwcca,0.9125073954827809
cifar10,123,2,4,2,cka,0.8575713634490967
cifar10,123,2,4,2,cosine,0.3411301374435425
cifar10,123,2,4,2,svcca,0.6557067520118924
cifar10,123,2,4,2,pwcca,0.8787041637478552
cifar10,123,3,1,2,cka,0.8758140802383423
cifar10,123,3,1,2,cosine,0.24333339929580688
cifar10,123,3,1,2,svcca,0.7871762954225512
cifar10,123,3,1,2,pwcca,0.9092319515776304
cifar10,123,3,2,1,cka,0.9504702687263489
cifar10,123,3,2,1,cosine,0.3525312840938568
cifar10,123,3,2,1,svcca,0.7146844270272646
cifar10,123,3,2,1,pwcca,0.9308938585228158
cifar10,123,3,3,0,cka,1.000000238418579
cifar10,123,3,3,0,cosine,1.0
cifar10,123,3,3,0,svcca,0.9999998356482465
cifar10,123,3,3,0,pwcca,0.9999999956463426
cifar10,123,3,4,1,cka,0.9489108324050903
cifar10,123,3,4,1,cosine,0.35160568356513977
cifar10,123,3,4,1,svcca,0.718472499062314
cifar10,123,3,4,1,pwcca,0.9332775839493397
cifar10,123,4,1,3,cka,0.7697902321815491
cifar10,123,4,1,3,cosine,0.236581951379776
cifar10,123,4,1,3,svcca,0.7451962084099842
cifar10,123,4,1,3,pwcca,0.8745505150239284
cifar10,123,4,2,2,cka,0.8575713634490967
cifar10,123,4,2,2,cosine,0.3411301374435425
cifar10,123,4,2,2,svcca,0.6557067520118929
cifar10,123,4,2,2,pwcca,0.9209798504862992
cifar10,123,4,3,1,cka,0.9489108324050903
cifar10,123,4,3,1,cosine,0.35160568356513977
cifar10,123,4,3,1,svcca,0.7184724990623123
cifar10,123,4,3,1,pwcca,0.9164156867736546
cifar10,123,4,4,0,cka,1.0000003576278687
cifar10,123,4,4,0,cosine,1.0
cifar10,123,4,4,0,svcca,0.9999999210559501
cifar10,123,4,4,0,pwcca,0.999999988186598
cifar10,456,1,1,0,cka,1.0000003576278687
cifar10,456,1,1,0,cosine,1.0
cifar10,456,1,1,0,svcca,0.9999961858558473
cifar10,456,1,1,0,pwcca,0.9999999967024531
cifar10,456,1,2,1,cka,0.9567802548408508
cifar10,456,1,2,1,cosine,0.24682439863681793
cifar10,456,1,2,1,svcca,0.827300394738418
cifar10,456,1,2,1,pwcca,0.9471307483863394
cifar10,456,1,3,2,cka,0.8687570691108704
cifar10,456,1,3,2,cosine,0.26345115900039673
cifar10,456,1,3,2,svcca,0.7653111087492758
cifar10,456,1,3,2,pwcca,0.9180349163855809
cifar10,456,1,4,3,cka,0.7619754076004028
cifar10,456,1,4,3,cosine,0.2565053403377533
cifar10,456,1,4,3,svcca,0.708708928706968
